12.08:23.15.04ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039263;140000.0;0;20;10.0;1481226039263;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039270;175000.0;0;20;10.0;1481226039270;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039280;210000.0;0;20;10.0;1481226039280;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039291;245000.0;0;20;10.0;1481226039291;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039301;280000.0;0;20;10.0;1481226039301;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039312;315000.0;0;20;10.0;1481226039312;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812592;70000.0;0;20;10.0;1481227812592;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812609;105000.0;0;20;10.0;1481227812609;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812628;140000.0;0;20;10.0;1481227812628;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812647;175000.0;0;20;10.0;1481227812647;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812667;210000.0;0;20;10.0;1481227812667;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812694;245000.0;0;20;10.0;1481227812694;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812717;280000.0;0;20;10.0;1481227812717;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812741;315000.0;0;20;10.0;1481227812741;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228105964;0.0;0;20;10.0;1481228105964;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106013;70000.0;0;20;10.0;1481228106013;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106039;105000.0;0;20;10.0;1481228106039;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106066;140000.0;0;20;10.0;1481228106066;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106093;175000.0;0;20;10.0;1481228106093;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106122;210000.0;0;20;10.0;1481228106122;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106153;245000.0;0;20;10.0;1481228106153;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106185;280000.0;0;20;10.0;1481228106185;0;0
12.08:23.16.32TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106217;315000.0;0;20;10.0;1481228106217;0;0
12.08:23.16.32ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.32ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.49ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.49ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.49ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039253;70000.0;0;20;10.0;1481226039253;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039258;105000.0;0;20;10.0;1481226039258;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039263;140000.0;0;20;10.0;1481226039263;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039270;175000.0;0;20;10.0;1481226039270;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039280;210000.0;0;20;10.0;1481226039280;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039291;245000.0;0;20;10.0;1481226039291;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039301;280000.0;0;20;10.0;1481226039301;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481226039312;315000.0;0;20;10.0;1481226039312;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812592;70000.0;0;20;10.0;1481227812592;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812609;105000.0;0;20;10.0;1481227812609;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812628;140000.0;0;20;10.0;1481227812628;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812647;175000.0;0;20;10.0;1481227812647;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812667;210000.0;0;20;10.0;1481227812667;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812694;245000.0;0;20;10.0;1481227812694;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812717;280000.0;0;20;10.0;1481227812717;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481227812741;315000.0;0;20;10.0;1481227812741;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228105964;0.0;0;20;10.0;1481228105964;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106013;70000.0;0;20;10.0;1481228106013;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106039;105000.0;0;20;10.0;1481228106039;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106066;140000.0;0;20;10.0;1481228106066;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106093;175000.0;0;20;10.0;1481228106093;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106122;210000.0;0;20;10.0;1481228106122;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106153;245000.0;0;20;10.0;1481228106153;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106185;280000.0;0;20;10.0;1481228106185;0;0
12.08:23.16.49TRACE	ru.sfedu.mydiplom.MyDiplomClient:29 - 1481228106217;315000.0;0;20;10.0;1481228106217;0;0
12.08:23.16.49ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.16.49ERROR	ru.sfedu.mydiplom.dao.CsvAPI:156 - 
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039253;70000.0;0;20;10.0;1481226039253;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039258;105000.0;0;20;10.0;1481226039258;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039263;140000.0;0;20;10.0;1481226039263;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039270;175000.0;0;20;10.0;1481226039270;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039280;210000.0;0;20;10.0;1481226039280;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039291;245000.0;0;20;10.0;1481226039291;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039301;280000.0;0;20;10.0;1481226039301;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039312;315000.0;0;20;10.0;1481226039312;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812592;70000.0;0;20;10.0;1481227812592;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812609;105000.0;0;20;10.0;1481227812609;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812628;140000.0;0;20;10.0;1481227812628;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812647;175000.0;0;20;10.0;1481227812647;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812667;210000.0;0;20;10.0;1481227812667;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812694;245000.0;0;20;10.0;1481227812694;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812717;280000.0;0;20;10.0;1481227812717;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812741;315000.0;0;20;10.0;1481227812741;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105964;0.0;0;20;10.0;1481228105964;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106013;70000.0;0;20;10.0;1481228106013;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106039;105000.0;0;20;10.0;1481228106039;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106066;140000.0;0;20;10.0;1481228106066;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106093;175000.0;0;20;10.0;1481228106093;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106122;210000.0;0;20;10.0;1481228106122;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106153;245000.0;0;20;10.0;1481228106153;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106185;280000.0;0;20;10.0;1481228106185;0;0
12.08:23.18.53TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106217;315000.0;0;20;10.0;1481228106217;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039253;70000.0;0;20;10.0;1481226039253;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039258;105000.0;0;20;10.0;1481226039258;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039263;140000.0;0;20;10.0;1481226039263;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039270;175000.0;0;20;10.0;1481226039270;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039280;210000.0;0;20;10.0;1481226039280;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039291;245000.0;0;20;10.0;1481226039291;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039301;280000.0;0;20;10.0;1481226039301;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039312;315000.0;0;20;10.0;1481226039312;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812592;70000.0;0;20;10.0;1481227812592;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812609;105000.0;0;20;10.0;1481227812609;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812628;140000.0;0;20;10.0;1481227812628;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812647;175000.0;0;20;10.0;1481227812647;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812667;210000.0;0;20;10.0;1481227812667;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812694;245000.0;0;20;10.0;1481227812694;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812717;280000.0;0;20;10.0;1481227812717;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812741;315000.0;0;20;10.0;1481227812741;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105964;0.0;0;20;10.0;1481228105964;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106013;70000.0;0;20;10.0;1481228106013;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106039;105000.0;0;20;10.0;1481228106039;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106066;140000.0;0;20;10.0;1481228106066;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106093;175000.0;0;20;10.0;1481228106093;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106122;210000.0;0;20;10.0;1481228106122;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106153;245000.0;0;20;10.0;1481228106153;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106185;280000.0;0;20;10.0;1481228106185;0;0
12.08:23.18.58TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106217;315000.0;0;20;10.0;1481228106217;0;0
12.09:13.11.12 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812777
12.09:13.11.12 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812223
12.09:13.11.12 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812270
12.09:13.11.12 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812358
12.09:13.11.12 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812475
12.09:13.15.32ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.15.33TRACE	ru.sfedu.mydiplom.dao.CsvAPI:73 - 1481227812777
12.09:13.15.33 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812777
12.09:13.15.33TRACE	ru.sfedu.mydiplom.dao.CsvAPI:73 - 1481227812223
12.09:13.15.33 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812223
12.09:13.15.33TRACE	ru.sfedu.mydiplom.dao.CsvAPI:73 - 1481227812270
12.09:13.15.33 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812270
12.09:13.15.33TRACE	ru.sfedu.mydiplom.dao.CsvAPI:73 - 1481227812358
12.09:13.15.33 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812358
12.09:13.15.33TRACE	ru.sfedu.mydiplom.dao.CsvAPI:73 - 1481227812475
12.09:13.15.33 WARN	ru.sfedu.mydiplom.dao.CsvAPI:56 - Object already exist with ID:1481227812475
12.09:13.16.50ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.05ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.29ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.29ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.29ERROR	ru.sfedu.mydiplom.dao.CsvAPI:170 - 
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228339799;35000.0;0;20;10.0;1481228339799;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039250;35000.0;0;20;10.0;1481226039250;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039258;105000.0;0;20;10.0;1481226039258;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039263;140000.0;0;20;10.0;1481226039263;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039270;175000.0;0;20;10.0;1481226039270;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039280;210000.0;0;20;10.0;1481226039280;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039291;245000.0;0;20;10.0;1481226039291;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039301;280000.0;0;20;10.0;1481226039301;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481226039312;315000.0;0;20;10.0;1481226039312;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812570;35000.0;0;20;10.0;1481227812570;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812609;105000.0;0;20;10.0;1481227812609;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812628;140000.0;0;20;10.0;1481227812628;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812647;175000.0;0;20;10.0;1481227812647;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812667;210000.0;0;20;10.0;1481227812667;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812694;245000.0;0;20;10.0;1481227812694;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812717;280000.0;0;20;10.0;1481227812717;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481227812741;315000.0;0;20;10.0;1481227812741;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228105988;35000.0;0;20;10.0;1481228105988;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106039;105000.0;0;20;10.0;1481228106039;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106066;140000.0;0;20;10.0;1481228106066;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106093;175000.0;0;20;10.0;1481228106093;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106122;210000.0;0;20;10.0;1481228106122;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106153;245000.0;0;20;10.0;1481228106153;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106185;280000.0;0;20;10.0;1481228106185;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228106217;315000.0;0;20;10.0;1481228106217;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228339765;0.0;0;20;10.0;1481228339765;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228339799;35000.0;0;20;10.0;1481228339799;0;0
12.09:13.17.30TRACE	ru.sfedu.mydiplom.MyDiplomClient:28 - 1481228339872;105000.0;0;20;10.0;1481228339872;0;0
